"address","GreenLeader_Observed","GreenLeader_Predictions","lng","lat"
"1 Vasileos Georgiou A' str. Syntagma Square, Athens 10564 Greece",1,1,23.7353123,37.976178
"1 Venizelou Eleftheriou, Ialyssos 851 01 Greece",0,0,28.1554071,36.4126577
"1 Welch Gate, Bewdley DY12 2AT England",0,0,-2.3174361,52.3754923
"1 Whitehall Riverside Lower Wortley, Leeds LS1 4EQ England",0,0,-1.55387,53.7951623
"1 William Street, Glasgow G3 8HT Scotland",0,1,-4.2689491,55.8614357
"1 Woolwich Manor Way Beckton, London E6 5NT England",0,0,0.061439,51.5151559
"1 allee D Alsace, 85160 Saint-Jean-de-Monts France",0,0,-2.060408,46.7791863
"1 avenue Bunau Varilla, 11000 Carcassonne Center, Carcassonne France",0,0,2.3446072,43.2122307
"1 avenue Frederic Mistral, 06600, Antibes France",0,0,7.1230835,43.5832824
"1 avenue Herrenschmidt, 67000, Strasbourg France",0,1,7.7548227,48.5969217
"1 avenue Jose Nobre, 13500 Martigues France",0,0,5.0427729,43.4004122
"1 avenue Marcel Paul Parc D'Activites Barbanniers, 92230 Gennevilliers France",0,1,2.3033455,48.9345052
"1 avenue Thermale, 03200 Vichy France",0,1,3.4185214,46.1269506
"1 avenue Victor Hugo, 12000 Rodez France",0,0,2.5722188,44.3508744
"1 avenue de Paris, 33310 Lormont, Bordeaux France",0,0,-0.5142272,44.8668249
"1 avenue de la Resistance, 71700, Tournus France",0,0,4.9076394,46.5641623
"1 avenue des Dardanelles Route des Calanques, 13260 Cassis France",0,0,5.5336951,43.2150141
"1 avenue du 24 Aout, 06600, Antibes France",0,1,7.1226254,43.5799264
"1 avenue du Docteur Paul Durand, 26600 Tain-l'Hermitage France",0,0,4.83881,45.0701088
"1 avenue du Pont Juvenal Montpellier City Center, 34000, Montpellier France",0,0,3.88323,43.606575
"1 boulevard Aristide Briand, 17200, Royan France",0,0,-1.0287459,45.62507
"1 boulevard Etienne Saintenac, 30000 Nimes France",0,0,4.3631081,43.8403401
"1 boulevard Saint Charles Bp 7, 11210 Port La Nouvelle France",0,0,3.0606408,43.0100566
"1 boulevard Victor, 75015 Paris France",0,0,2.2769629,48.836645
"1 boulevard de Creteil, 94100 Saint-Maur-des-Fosses France",0,0,2.4719427,48.7999064
"1 boulevard des Belges, 14510 Houlgate France",0,0,-0.0758969,49.3009337
"1 quai Jean Bart, 22520 Binic France",0,0,-2.8243047,48.6014631
"1 rue Alfred Kastler, 56000, Vannes France",0,0,-2.7453934,47.6426753
"1 rue Andre Marie Ampere, 21200, Beaune France",0,0,4.8429904,47.0122822
"1 rue Brey, 75017 Paris France",0,0,2.2962218,48.875939
"1 rue Charles Schmidt, 93400 Saint Ouen France",0,0,2.3323664,48.9061411
"1 rue Edouard Mignot, 51100, Reims France",0,1,4.0246546,49.2613141
"1 rue Etienne Marcel, 47300, Villeneuve-sur-Lot France",0,0,0.7036456,44.4085808
"1 rue Eugenie Eboue, 92600 Asnieres-sur-Seine France",0,0,2.3159558,48.9178342
"1 rue Gabriel Peri, 13110 Port-de-Bouc France",0,0,4.9793744,43.4043335
"1 rue Haute du Rempart, 68240 Kaysersberg, Kaysersberg-Vignoble France",0,0,7.2593767,48.1409316
"1 rue Louis Moron, 49320 Brissac-Quince, Brissac Loire Aubance France",0,0,-0.4480402,47.3540089
"1 rue Louis Philippe, 76600, Le Havre France",0,0,0.0993514,49.4940415
"1 rue Maurice Genest, 37000, Tours France",1,1,0.6980664,47.3873181
"1 rue Montauban, 85100, Les Sables-d'Olonne France",0,0,-1.8016206,46.4959683
"1 rue Pierre Sauvage, 60200 Compiegne City, Compiegne France",0,0,2.8252938,49.4198601
"1 rue Piliers de la Chauviniere, 44800 Saint Herblain, Nantes France",0,1,-1.634617,47.229712
"1 rue Piron, 44000, Nantes France",0,0,-1.5618292,47.2122902
"1 rue Sainte Anne, 35400, Saint-Malo France",0,0,-2.0281225,48.6491469
"1 rue Victor Hugo, 34500, Beziers France",0,0,3.2182458,43.3413094
"1 rue de Gengenbach, 67210, Obernai France",0,0,7.4914866,48.4682533
"1 rue de Lourmel, 75015 Paris France",0,1,2.2923967,48.8505046
"1 rue de Presignac, 46200 Souillac France",0,0,1.4657695,44.8998846
"1 rue de la Fee Viviane, 56800 Ploermel France",0,0,-2.4106781,47.9421751
"1 rue de la Feria, 65110 Cauterets France",0,0,-0.1161708,42.8899265
"1 rue de la Provaliere, 73140 Saint Michel de Maurienne France",0,0,6.478087,45.212326
"1 rue de la Recege, 46200 Souillac France",0,0,1.4754411,44.8952708
"1 rue des Carriers, 59260 Lezennes France",0,0,3.1182761,50.6166588
"1 rue des Pertuisanes, 34000, Montpellier France",1,1,3.8849407,43.6085755
"1 rue du Chateau, 83400, Hyeres France",0,0,6.125178,43.1206186
"1 rue du Gal Marie Antoine Reiset, 90000 Belfort France",0,0,6.8602778,47.6386111
"1 rue du General Leclerc, 76790 Etretat France",0,0,0.2020226,49.7081152
"1 rue du Marechal Joffre, 37100, Tours France",0,0,0.7011925,47.4228154
"1 rue du Phare, 80550 Le Crotoy France",0,0,1.6226877,50.2153557
"1 rue du Rouchas, 38860 Les Deux-Alpes France",1,0,6.1210641,45.0067491
"1 rue du clos Bourget, 37400, Amboise France",1,1,0.9887879,47.3978317
"1, Ektoros Street, Paphos 8045 Cyprus",NA,0,32.407313,34.7679732
"1, Machova 513,, Prague 120 00 Czech Republic",NA,0,14.4404163,50.071478
"1, Stocholmis Str, Kolimbia 851 03 Greece",0,0,28.1437395,36.2576048
"1, rue des Grands Pres, 77700 Chessy, Marne-la-Vallee France",0,0,2.773044,48.857357
"1,Vasileos Stasiikou Ave, Polis 8830 Cyprus",NA,0,32.4270411,35.0363794
"1-2 Market Square, Buckingham MK18 1NL England",0,0,-0.9874505,51.9996567
"1-3 Baxter's Place, Edinburgh EH1 3AF Scotland",0,1,-3.1847111,55.9572637
"1-3 Calle Dagueria, 08002 Barcelona Spain",0,0,2.177806,41.3834861
"1-3 Chemin de l'Armee d'Afrique, 13005 Marseille France",1,1,5.4041707,43.2914203
"1-3 Franklin Mount, Harrogate HG1 5EJ England",0,0,-1.5384044,53.998931
"1-3 North Parade, Bath BA1 1LF England",0,1,-2.357472,51.3806145
"1-3 Rutland Street, Edinburgh EH1 2AE Scotland",0,1,-3.2078141,55.9499573
"1-3 Silver Street, Stansted Mountfitchet CM24 8HA England",0,0,0.1930663,51.9034378
"1-5 Park Road, Shanklin PO37 6BB England",0,0,-1.1745448,50.6301624
"1-7 Rue Jean Richepin, 75116 Paris France",0,0,2.2747033,48.8613299
"1-8 High Street, Helmsley YO62 5AG England",0,1,-1.0640307,54.2473489
"1. Maja 26, Poprad 058 01 Slovakia",NA,0,20.2991681,49.0586866
"1. Maje 869/27, Olomouc 779 00 Czech Republic",NA,0,17.2629938,49.5969355
"10 Avenue Prince Pierre, Monte-Carlo 98000 Monaco",0,0,7.4179626,43.7329145
"10 B rue du Debarcadere, 75017 Paris France",0,1,2.2867721,48.8778635
"10 Ballifeary Road, Inverness IV3 5PJ Scotland",0,0,-4.2345535,57.471484
"10 Castle Street Cranborne, Wimborne Minster BH21 5PZ England",0,0,-1.9215254,50.9174685
"10 Commercial Road Glendower House, Dereham NR19 1AE England",0,0,0.9437704,52.678191
"10 Compton Road, Buxton SK17 9DN England",0,0,-1.9146481,53.252024
"10 Crescent Avenue, Whitby YO21 3ED England",0,0,-0.6199374,54.4880058
"10 Curzon Street, London W1J 5HH England",0,0,-0.1466007,51.5070116
"10 Dworcowa St., Kolobrzeg 78-100 Poland",NA,0,15.5691299,54.179524
"10 East Hermitage Place, Edinburgh EH6 8AA Scotland",0,0,-3.1625193,55.9693783
"10 Frome Road, Wareham BH20 4QA England",0,0,-2.117909,50.6818798
"10 General Street, Blackpool FY1 1RW England",0,0,-3.0535193,53.8216044
"10 Gkylfordou Street, Athens 104 34 Greece",0,0,23.729951,37.9935529
"10 Gnien Imrik Street, Xaghra, Island of Gozo XRA 102 Malta",NA,0,14.2604621,36.0529039
"10 Grand rue, 68420 Eguisheim France",0,0,7.3095451,48.0422206
"10 Hill Terrace, Llandudno LL30 2LS Wales",0,0,-3.8306276,53.3284879
"10 Koumoundourou, Volos 382 21 Greece",0,0,22.9495372,39.359328
"10 Lake Road, Ambleside LA22 0AD England",0,0,-2.9621448,54.4303219
"10 Lassithiou, Platanias, Rethymnon, Crete 741 00 Greece",0,0,24.5297648,35.369425
"10 Lawson Street, Barrow-in-Furness LA14 2NU England",0,0,-3.2297431,54.1108743
"10 Leoforos Alexandras, Athens 106 82 Greece",1,1,23.7331137,37.9911607
"10 Meters From The Main Square Of St. George Church, Oia 847 02 Greece",0,1,25.3753101,36.4618199
"10 Milouthkion Street, Paphos 8574 Cyprus",NA,0,32.4297369,34.7720133
"10 Parkgatan, Gothenburg 411 38 Sweden",0,0,11.976318,57.7038571
"10 Petinaki Adoniou, Hersonissos, Crete 700 14 Greece",0,0,25.3930054,35.3146961
"10 Piazza Leonardo da Vinci Città Studi - Politecnico, 20133 Milan Italy",0,0,9.2283424,45.4784315
"10 Place Charles de Gaulle, 76210 Bolbec France",0,0,0.4727449,49.5732119
"10 Place Jeanne D Arc, 37500, Chinon France",0,0,0.2446808,47.1656181
"10 Place Viarme, 44000, Nantes France",0,0,-1.5615512,47.2205267
"10 Raheen Road, Clonmel E91 AC82 Ireland",0,0,-7.6961119,52.3509144
"10 Royal Parade, Eastbourne BN22 7AR England",0,0,0.2961805,50.7710126
"10 Rue Yves Bertrand Burgalat, 21200, Beaune France",0,1,4.8439429,47.0102531
"10 Rue du Port Vieux, 64200 Biarritz France",0,0,-1.5663368,43.4822544
"10 Sjoetullsgatan, Norrtalje, Norrtalje Municipality 761 30 Sweden",0,0,18.7073723,59.7578818
"10 Square North Plastira, Rethymnon, Crete 741 00 Greece",0,0,24.4748281,35.3714263
"10 Swinegate, Leeds LS1 4AG England",0,0,-1.5429735,53.7943142
"10 Theas Afroditis Avenue, Geroskipou 8204 Cyprus",NA,1,32.4318183,34.7417147
"10 Warrington Place Off Mount Street, Dublin 2 Ireland",0,0,-6.2417622,53.3368973
"10 West End Place, Edinburgh EH11 2ED Scotland",0,0,-3.2216847,55.9418258
"10 West Street, Dunster, Exmoor National Park TA24 6SN England",0,0,-3.4465182,51.1821711
"10 West Street, Faversham ME13 7JE England",0,0,0.8898543,51.3158991
"10 avenue Antoine Becquerel, 33600 Pessac, Bordeaux France",0,0,-0.6492312,44.7899917
"10 avenue Carnot 17 Arr., 75017 Paris France",0,0,2.293765,48.875576
"10 avenue Edouard VII, 64200 Biarritz France",0,1,-1.5584831,43.4827846
"10 avenue Emile Zola, 75015 Paris France",0,1,2.2788526,48.846002
"10 avenue Pasteur, 13100, Aix-en-Provence France",0,0,5.4461889,43.5333506
"10 avenue du General de Gaulle, 83980, Le Lavandou France",0,0,6.3679421,43.1378286
"10 avenue du Marechal de Saxe, 69006 Lyon France",0,0,4.8437112,45.7677731
"10 route des Pechs, 24200, Sarlat-la-Caneda France",0,0,1.2298216,44.885411
"10 rue Albert 1er, 06500, Menton France",0,0,7.4928966,43.7733282
"10 rue Alfred Hartmann, 68140 Munster France",0,1,7.1425482,48.0405822
"10 rue Barberis, 06300 Nice France",0,0,7.2833899,43.704986
"10 rue Cembraie le Recoin, 38410 Chamrousse France",0,0,5.875606,45.125704
"10 rue Georges Bernard Parking rue Buzot, 27000 Evreux France",0,0,1.1534359,49.0281598
"10 rue Gobert 11th Arrondisement, 75011 Paris France",0,0,2.3828721,48.8556628
"10 rue Gresset Quartier Graslin, 44000, Nantes France",0,0,-1.564447,47.211989
"10 rue Maryse Bastie, 69500 Bron France",0,0,4.9235918,45.7263903
"10 rue Paul Crampel, 62179 Wissant France",0,0,1.6667963,50.8872966
"10 rue Professeur Jacques Louvel, 61140 Bagnoles-de-l'Orne France",0,0,-0.418537,48.555664
"10 rue Saint Martin, 18300, Sancerre France",0,0,2.8392344,47.3325786
"10 rue de Guebriant, 35000, Rennes France",0,0,-1.7047578,48.1040185
"10 rue de Passy, 75016 Paris France",0,1,2.2835175,48.858508
"10 rue de Ponthieu, 75008 Paris France",0,1,2.310701,48.8704544
"10 rue de la Corne de Cerf, 35400, Saint-Malo France",0,0,-2.0249375,48.650486
"10 rue de la Gare, 14000 Caen France",0,0,-0.3522689,49.1768073
"10 rue de la Tresorerie II Accès véhicules pour service de voiturier & garage : place du Château, 73000 Chambery France",0,0,5.9178916,45.5656138
"10 rue des Jacobines, 71100 Chalon-sur-Saone France",0,0,4.8558673,46.7845623
"10 rue des Launes, 13460 Saintes-Maries-de-la-Mer France",0,0,4.4252978,43.4513046
"10 rue du General Koenig, 67140 Andlau France",0,0,7.4208004,48.3874615
"10 rue du Lieutenant Parayre Pole d'Activite d'Aix en Provenc, 13290, Aix-en-Provence France",0,0,5.3686423,43.4948111
"10, Clopotarii Vechi Street, Bucharest 010654 Romania",NA,0,26.0908048,44.4506981
"10, Ropotamo str, Sozopol 8130 Bulgaria",NA,0,27.697327,42.416613
"10-11 New Steine Kemp Town, East Sussex, Brighton BN2 1PB England",0,0,-0.1320664,50.8200603
"10-11 West Shore Street, Ullapool IV26 2UR Scotland",0,0,-5.1627322,57.8946317
"10-12 King St., Reading RG1 2HE England",0,1,-0.9702788,51.4548759
"10-12 Rue Yvan Tourgueneff Rn 13, 78380 Bougival France",0,1,2.1454795,48.8676035
"10-42 King's Cross Road Between King's Cross And Farringdon Stations, London WC1X 9QE England",0,0,-0.1142593,51.5271661
"100 - 110 Euston Road, London NW1 2AJ England",0,1,-0.1281828,51.5286942
"100 King Street, Manchester M2 4WU England",0,1,-2.2423765,53.4805845
"100 King's Cross Road, London WC1X 9DT England",0,0,-0.1150354,51.5293855
"100 Main Street, Letterkenny F92 C440 Ireland",0,1,-7.7358377,54.9520635
"100 Milton Road East, Edinburgh EH15 2NP Scotland",1,1,-3.0959232,55.9444482
"100 Place Jean Jaures, 84120, Pertuis France",0,0,5.5014814,43.6933915
"100 Queens Promenade, Blackpool FY2 9NS England",0,0,-3.0540219,53.8410668
"100 Whitechapel Road, London E1 1JG England",1,1,-0.0648582,51.5175314
"100 boulevard Hebert Grande Plage du Sillon, 35400, Saint-Malo France",0,1,-1.999347,48.6581499
"100 rue Line Renaud Loulou Gaste, 06600, Antibes France",0,0,7.1190036,43.5899994
"100, Nissi Avenue, Ayia Napa 5344 Cyprus",NA,1,33.9523871,34.9883753
"100A Douglas Street, Derby DE23 8LJ England",0,0,-1.4659603,52.9096006
"101 - 108 Station Road, London DA15 7BS England",0,0,0.102375,51.433173
"101 Buckingham Palace Road, London SW1W 0SJ England",0,1,-0.14531,51.4956682
"101 Main Street, Callander, Loch Lomond and The Trossachs National Park FK17 8BQ Scotland",0,0,-4.2120551,56.2431254
"101 Mansfield Road Daybrook, Nottingham NG5 6BH England",0,0,-1.1387264,53.0002639
"101 Promenade Rene Coty, 83700, Saint-Raphael France",0,0,6.768151,43.422059
"101 St. Paul's Street, Valletta, Island of Malta VLT 1216 Malta",NA,0,14.5150372,35.8979052
"101 route du Golf, 74400, Chamonix France",0,0,6.8880409,45.9433678
"101, Old Bakery Street, Valletta, Island of Malta VLT 1458 Malta",NA,0,14.5142165,35.9006017
"1016 Dockside Road, London E16 2FQ England",0,0,0.0422095,51.5085531
"103 Kolokotroni, Piraeus 185 35 Greece",0,0,23.6434549,37.9402026
"103 avenue du Marechal Joffre, 66120 Font-Romeu-Odeillo-Via France",0,0,2.0467811,42.5015777
"103-107 New Road, London E1 1HJ England",0,1,-0.062775,51.5175782
"104 Bayswater Road Hyde park, London W2 3HL England",0,1,-0.184024,51.510788
"104 Ermou, Athens 105 54 Greece",0,0,23.7238728,37.9770774
"104 Queensway Bayswater, London W2 3RR England",0,1,-0.1875169,51.5133954
"104 avenue du Marechal Juin, 34200 Sete France",0,1,3.7036743,43.4057868
"104 rue Anatole France, 76600, Le Havre France",0,0,0.1185699,49.4957572
"104B Triq Ta' Bullara, Xaghra, Island of Gozo XRA 1705 Malta",NA,0,14.2623529,36.0509056
"105 Triq San Gorg 105 St. George Street, Cospicua (Bormla), Island of Malta BML 1152 Malta",NA,0,14.5231897,35.8832935
"1055 boulevard de l Europe, 39000 Lons-le-Saunier France",0,0,5.5633226,46.6866828
"106 Columbus Ravine, Scarborough YO12 7QZ England",0,0,-0.4091912,54.2880045
"106 boulevard de Magenta, 75010 Paris France",0,1,2.354859,48.8780326
"106 rue Voltaire, 76600, Le Havre France",0,0,0.1071573,49.4898111
"106-108 Holgate Road, York YO24 4BB England",0,0,-1.1005364,53.9540289
"1060 avenue Jean Henri Fabre, 84200 Carpentras France",0,0,5.0298042,44.0492102
"107 High Street, March PE15 9LH England",0,0,0.0872882,52.5451022
"107 Queensferry Road, Edinburgh EH4 3HL Scotland",0,1,-3.2429407,55.955747
"107 Rue de l'Alzette, Esch-sur-Alzette 4011 Luxembourg",0,0,5.9791825,49.4930282
"1074 avenue de Lattre De Tassigny, 83600 Frejus France",0,1,6.7561742,43.4302903
"108 Brunswick Street Merchant City, Glasgow G1 1TF Scotland",0,0,-4.2468385,55.8590038
"109 Orrell Lane Aintree, Liverpool L9 8BL England",0,0,-2.96831,53.4648783
"109 Thermopilon, Sparta, Sparta Municipality 231 00 Greece",0,0,22.4278338,37.0766007
"109, Chemin de Chibau, 64500 Saint-Jean-de-Luz France",0,1,-1.6295167,43.4062769
"10b Chestnut Plaza Westfield Stratford City Montfichet Road, Stratford City E20 1GL England",0,1,-0.0068919,51.5425898
"10th February Street 3, Veliko Tarnovo 5000 Bulgaria",NA,0,25.633484,43.0946269
"11 13 Kirkmichael Road, Pitlochry PH16 5EW Scotland",0,0,-3.7266371,56.7125166
"11 13 Summerfeild Road (off South Marine Drive), Bridlington YO15 3LF England",0,0,-0.2002994,54.0780229
"11 Apollonion, Rhodes Town 851 00 Greece",0,0,28.2233487,36.443876
"11 Archiepiskopou Damaskinou Damaskinou 11 Str, Loutraki 203 00 Greece",0,0,22.975659,37.97329
"11 Av. Gal Leclerc, 65110 Cauterets France",0,0,-0.1145175,42.8897265
"11 B rue du clos Montholon, 92140 Clamart France",0,0,2.2748886,48.8140274
"11 Beach Road, Paignton TQ4 6AY England",0,0,-3.5623521,50.4366208
